codigo_instituicao,instituicao,codigo_curso,curso,vagas_iniciais,colocados,nota_ultimo_colocado,vagas_sobrantes,ano,fase,taxa_ocupacao,nome_universidade,nome_faculdade,course_id
0507,Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,0080,Ciências da Educação,89.0,89.0,138.5,0.0,2004,1,1.0,Universidade de Coimbra,Faculdade de Psicologia e de Ciências da Educação,0080_0507
0706,Universidade de Lisboa - Faculdade de Psicologia e de Ciências da Educação,0080,Ciências da Educação,70.0,70.0,116.8,0.0,2004,1,1.0,Universidade de Lisboa,Faculdade de Psicologia e de Ciências da Educação,0080_0706
1109,Universidade do Porto - Faculdade de Psicologia e de Ciências da Educação,0080,Ciências da Educação,57.0,57.0,156.0,0.0,2004,1,1.0,Universidade do Porto,Faculdade de Psicologia e de Ciências da Educação,0080_1109
5402,Universidade do Porto - Faculdade de Belas-Artes,0081,Artes Plásticas - Pintura,45.0,45.0,141.5,0.0,2004,1,1.0,Universidade do Porto,Faculdade de Belas-Artes,0081_5402
0504,Universidade de Coimbra - Faculdade de Farmácia,0082,Ciências Farmacêuticas,160.0,160.0,159.8,0.0,2004,1,1.0,Universidade de Coimbra,Faculdade de Farmácia,0082_0504
0703,Universidade de Lisboa - Faculdade de Farmácia,0082,Ciências Farmacêuticas,205.0,205.0,160.5,0.0,2004,1,1.0,Universidade de Lisboa,Faculdade de Farmácia,0082_0703
1106,Universidade do Porto - Faculdade de Farmácia,0082,Ciências Farmacêuticas,170.0,170.0,164.0,0.0,2004,1,1.0,Universidade do Porto,Faculdade de Farmácia,0082_1106
5402,Universidade do Porto - Faculdade de Belas-Artes,0084,Design de Comunicação (Arte Gráfica),45.0,45.0,168.0,0.0,2004,1,1.0,Universidade do Porto,Faculdade de Belas-Artes,0084_5402
0701,Universidade de Lisboa - Faculdade de Ciências,0085,Ciências Geofísicas,30.0,5.0,120.5,25.0,2004,1,0.16666666666666666,Universidade de Lisboa,Faculdade de Ciências,0085_0701
0508,Universidade de Coimbra - Faculdade de Ciências do Desporto e Educação Física,0086,Ciências do Desporto,30.0,30.0,119.5,0.0,2004,1,1.0,Universidade de Coimbra,Faculdade de Ciências do Desporto e Educação Física,0086_0508
0806,Universidade Técnica de Lisboa - Faculdade de Motricidade Humana,0086,Ciências do Desporto,99.0,99.0,127.5,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Faculdade de Motricidade Humana,0086_0806
0902,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,0091,Ciências Musicais,20.0,19.0,120.0,1.0,2004,1,0.95,Universidade Nova de Lisboa,Faculdade de Ciências Sociais e Humanas,0091_0902
0804,Universidade Técnica de Lisboa - Instituto Superior de Ciências Sociais e Políticas,0093,Ciência Política,40.0,40.0,132.5,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Instituto Superior de Ciências Sociais e Políticas,0093_0804
1101,Universidade do Porto - Faculdade de Ciências da Nutrição e Alimentação,0097,Ciências da Nutrição,65.0,65.0,159.3,0.0,2004,1,1.0,Universidade do Porto,Faculdade de Ciências da Nutrição e Alimentação,0097_1101
1110,Universidade do Porto - Instituto de Ciências Biomédicas de Abel Salazar,0100,Ciências do Meio Aquático,35.0,35.0,155.0,0.0,2004,1,1.0,Universidade do Porto,Instituto de Ciências Biomédicas de Abel Salazar,0100_1110
1103,Universidade do Porto - Faculdade de Ciências,0101,Ciência de Computadores,60.0,54.0,103.5,6.0,2004,1,0.9,Universidade do Porto,Faculdade de Ciências,0101_1103
0804,Universidade Técnica de Lisboa - Instituto Superior de Ciências Sociais e Políticas,0112,Comunicação Social,62.0,62.0,150.0,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Instituto Superior de Ciências Sociais e Políticas,0112_0804
0505,Universidade de Coimbra - Faculdade de Letras,0124,Arqueologia e História,25.0,25.0,124.0,0.0,2004,1,1.0,Universidade de Coimbra,Faculdade de Letras,0124_0505
0704,Universidade de Lisboa - Faculdade de Letras,0124,Arqueologia e História,40.0,40.0,126.5,0.0,2004,1,1.0,Universidade de Lisboa,Faculdade de Letras,0124_0704
0806,Universidade Técnica de Lisboa - Faculdade de Motricidade Humana,0129,Dança,20.0,16.0,104.0,4.0,2004,1,0.8,Universidade Técnica de Lisboa,Faculdade de Motricidade Humana,0129_0806
1111,Universidade do Porto - Faculdade de Ciências do Desporto e de Educação Física,0141,Desporto e Educação Física,108.0,108.0,117.5,0.0,2004,1,1.0,Universidade do Porto,Faculdade de Ciências do Desporto e de Educação Física,0141_1111
0502,Universidade de Coimbra - Faculdade de Direito,0153,Direito,360.0,281.0,109.3,79.0,2004,1,0.7805555555555556,Universidade de Coimbra,Faculdade de Direito,0153_0502
0702,Universidade de Lisboa - Faculdade de Direito,0153,Direito,550.0,550.0,125.3,0.0,2004,1,1.0,Universidade de Lisboa,Faculdade de Direito,0153_0702
0911,Universidade Nova de Lisboa - Faculdade de Direito,0153,Direito,100.0,100.0,140.8,0.0,2004,1,1.0,Universidade Nova de Lisboa,Faculdade de Direito,0153_0911
1114,Universidade do Porto - Faculdade de Direito,0153,Direito,150.0,150.0,148.8,0.0,2004,1,1.0,Universidade do Porto,Faculdade de Direito,0153_1114
0130,Universidade dos Açores - Ponta Delgada,0156,Economia,25.0,14.0,103.2,11.0,2004,1,0.56,Universidade dos Açores,Ponta Delgada,0156_0130
0204,Universidade do Algarve - Faculdade de Economia,0156,Economia,60.0,60.0,111.0,0.0,2004,1,1.0,Universidade do Algarve,Faculdade de Economia,0156_0204
0503,Universidade de Coimbra - Faculdade de Economia,0156,Economia,150.0,150.0,108.0,0.0,2004,1,1.0,Universidade de Coimbra,Faculdade de Economia,0156_0503
0805,Universidade Técnica de Lisboa - Instituto Superior de Economia e Gestão,0156,Economia,170.0,170.0,121.0,0.0,2004,1,1.0,Universidade Técnica de Lisboa,Instituto Superior de Economia e Gestão,0156_0805
0904,Universidade Nova de Lisboa - Faculdade de Economia,0156,Economia,180.0,180.0,138.0,0.0,2004,1,1.0,Universidade Nova de Lisboa,Faculdade de Economia,0156_0904
1104,Universidade do Porto - Faculdade de Economia,0156,Economia,216.0,216.0,147.3,0.0,2004,1,1.0,Universidade do Porto,Faculdade de Economia,0156_1104
