codigo_instituicao,instituicao,codigo_curso,curso,vagas_iniciais,colocados,nota_ultimo_colocado,vagas_sobrantes,ano,fase,taxa_ocupacao,nome_universidade,nome_faculdade,course_id
0503,Universidade de Coimbra - Faculdade de Economia,9240,Sociologia,45.0,45.0,125.5,0.0,2007,1,1.0,Universidade de Coimbra,Faculdade de Economia,9240_0503
0804,Universidade Técnica de Lisboa - Instituto Superior de Ciências Sociais e Políticas,9240,Sociologia,67.0,67.0,118.5,0.0,2007,1,1.0,Universidade Técnica de Lisboa,Instituto Superior de Ciências Sociais e Políticas,9240_0804
0902,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,9240,Sociologia,50.0,50.0,132.0,0.0,2007,1,1.0,Universidade Nova de Lisboa,Faculdade de Ciências Sociais e Humanas,9240_0902
1107,Universidade do Porto - Faculdade de Letras,9240,Sociologia,50.0,50.0,135.8000030517578,0.0,2007,1,1.0,Universidade do Porto,Faculdade de Letras,9240_1107
3031,Instituto Politécnico do Cávado e do Ave - Escola Superior de Gestão,9242,Solicitadoria,25.0,25.0,140.6999969482422,0.0,2007,1,1.0,Instituto Politécnico do Cávado e do Ave,Escola Superior de Gestão,9242_3031
3045,Instituto Politécnico de Bragança - Escola Superior de Tecnologia e Gestão de Mirandela,9242,Solicitadoria,55.0,55.0,121.0999984741211,0.0,2007,1,1.0,Instituto Politécnico de Bragança,Escola Superior de Tecnologia e Gestão de Mirandela,9242_3045
3054,Instituto Politécnico de Castelo Branco - Escola Superior de Gestão de Idanha-a-Nova,9242,Solicitadoria,50.0,40.0,109.80000305175781,10.0,2007,1,0.8,Instituto Politécnico de Castelo Branco,Escola Superior de Gestão de Idanha-a-Nova,9242_3054
3102,Instituto Politécnico de Leiria - Escola Superior de Tecnologia e Gestão de Leiria,9242,Solicitadoria,60.0,60.0,122.30000305175781,0.0,2007,1,1.0,Instituto Politécnico de Leiria,Escola Superior de Tecnologia e Gestão de Leiria,9242_3102
3138,Instituto Politécnico do Porto - Escola Superior de Tecnologia e Gestão de Felgueiras,9242,Solicitadoria,40.0,40.0,137.89999389648438,0.0,2007,1,1.0,Instituto Politécnico do Porto,Escola Superior de Tecnologia e Gestão de Felgueiras,9242_3138
3103,Instituto Politécnico de Leiria - Escola Superior de Artes e Design das Caldas da Rainha,9243,Teatro,20.0,20.0,125.5999984741211,0.0,2007,1,1.0,Instituto Politécnico de Leiria,Escola Superior de Artes e Design das Caldas da Rainha,9243_3103
3014,"Universidade de Aveiro - Escola Superior de Design, Gestão e Tecnologias da Produção de Aveiro-Norte",9245,Tecnologia e Design de Produto,40.0,40.0,117.5999984741211,0.0,2007,1,1.0,Universidade de Aveiro,"Escola Superior de Design, Gestão e Tecnologias da Produção de Aveiro-Norte",9245_3014
3041,Instituto Politécnico de Bragança - Escola Superior Agrária de Bragança,9246,Tecnologia Veterinária,40.0,40.0,117.0,0.0,2007,1,1.0,Instituto Politécnico de Bragança,Escola Superior Agrária de Bragança,9246_3041
3045,Instituto Politécnico de Bragança - Escola Superior de Tecnologia e Gestão de Mirandela,9247,Tecnologias da Comunicação,35.0,18.0,111.80000305175781,17.0,2007,1,0.5142857142857142,Instituto Politécnico de Bragança,Escola Superior de Tecnologia e Gestão de Mirandela,9247_3045
3053,Instituto Politécnico de Castelo Branco - Escola Superior de Tecnologia de Castelo Branco,9248,Tecnologias da Informação e Multimédia,25.0,4.0,110.19999694824219,21.0,2007,1,0.16,Instituto Politécnico de Castelo Branco,Escola Superior de Tecnologia de Castelo Branco,9248_3053
0701,Universidade de Lisboa - Faculdade de Ciências,9250,Tecnologias de Informação e Comunicação,50.0,50.0,111.0,0.0,2007,1,1.0,Universidade de Lisboa,Faculdade de Ciências,9250_0701
0704,Universidade de Lisboa - Faculdade de Letras,9252,Tradução,55.0,40.0,106.80000305175781,15.0,2007,1,0.7272727272727273,Universidade de Lisboa,Faculdade de Letras,9252_0704
0902,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,9252,Tradução,55.0,55.0,134.0,0.0,2007,1,1.0,Universidade Nova de Lisboa,Faculdade de Ciências Sociais e Humanas,9252_0902
0130,Universidade dos Açores - Ponta Delgada,9254,Turismo,20.0,17.0,104.80000305175781,3.0,2007,1,0.85,Universidade dos Açores,Ponta Delgada,9254_0130
3023,Instituto Politécnico de Beja - Escola Superior de Tecnologia e Gestão de Beja,9254,Turismo,30.0,25.0,111.0999984741211,5.0,2007,1,0.8333333333333334,Instituto Politécnico de Beja,Escola Superior de Tecnologia e Gestão de Beja,9254_3023
3045,Instituto Politécnico de Bragança - Escola Superior de Tecnologia e Gestão de Mirandela,9254,Turismo,40.0,22.0,108.0,18.0,2007,1,0.55,Instituto Politécnico de Bragança,Escola Superior de Tecnologia e Gestão de Mirandela,9254_3045
3062,Instituto Politécnico de Coimbra - Escola Superior de Educação de Coimbra,9254,Turismo,40.0,40.0,137.8000030517578,0.0,2007,1,1.0,Instituto Politécnico de Coimbra,Escola Superior de Educação de Coimbra,9254_3062
3082,"Universidade do Algarve - Escola Superior de Gestão, Hotelaria e Turismo de Faro",9254,Turismo,65.0,65.0,131.89999389648438,0.0,2007,1,1.0,Universidade do Algarve,"Escola Superior de Gestão, Hotelaria e Turismo de Faro",9254_3082
3087,"Universidade do Algarve - Escola Superior de Gestão, Hotelaria e Turismo de Faro (Portimão)",9254,Turismo,25.0,25.0,128.10000610351562,0.0,2007,1,1.0,Universidade do Algarve,"Escola Superior de Gestão, Hotelaria e Turismo de Faro (Portimão)",9254_3087
3105,Instituto Politécnico de Leiria - Escola Superior de Tecnologia do Mar de Peniche,9254,Turismo,35.0,35.0,124.19999694824219,0.0,2007,1,1.0,Instituto Politécnico de Leiria,Escola Superior de Tecnologia do Mar de Peniche,9254_3105
3121,Instituto Politécnico de Portalegre - Escola Superior de Educação de Portalegre,9254,Turismo,30.0,19.0,112.4000015258789,11.0,2007,1,0.6333333333333333,Instituto Politécnico de Portalegre,Escola Superior de Educação de Portalegre,9254_3121
3163,Instituto Politécnico de Viana do Castelo - Escola Superior de Tecnologia e Gestão de Viana do Castelo,9254,Turismo,35.0,35.0,135.0,0.0,2007,1,1.0,Instituto Politécnico de Viana do Castelo,Escola Superior de Tecnologia e Gestão de Viana do Castelo,9254_3163
3182,Instituto Politécnico de Viseu - Escola Superior de Tecnologia de Viseu,9254,Turismo,50.0,50.0,122.0999984741211,0.0,2007,1,1.0,Instituto Politécnico de Viseu,Escola Superior de Tecnologia de Viseu,9254_3182
3095,Instituto Politécnico da Guarda - Escola Superior de Turismo e Telecomunicações de Seia,9255,Turismo e Lazer,40.0,24.0,104.80000305175781,16.0,2007,1,0.6,Instituto Politécnico da Guarda,Escola Superior de Turismo e Telecomunicações de Seia,9255_3095
0807,Universidade Técnica de Lisboa - Instituto Superior Técnico,9257,Arquitectura,50.0,50.0,170.0,0.0,2007,1,1.0,Universidade Técnica de Lisboa,Instituto Superior Técnico,9257_0807
0807,Universidade Técnica de Lisboa - Instituto Superior Técnico,9345,Matemática Aplicada e Computação,30.0,27.0,140.5,3.0,2007,1,0.9,Universidade Técnica de Lisboa,Instituto Superior Técnico,9345_0807
3142,Instituto Politécnico de Santarém - Escola Superior de Educação de Santarém,9346,Animação Cultural e Educação Comunitária,35.0,35.0,125.0,0.0,2007,1,1.0,Instituto Politécnico de Santarém,Escola Superior de Educação de Santarém,9346_3142
3022,Instituto Politécnico de Beja - Escola Superior de Educação de Beja,9347,Artes Plásticas e Multimédia,30.0,15.0,117.80000305175781,15.0,2007,1,0.5,Instituto Politécnico de Beja,Escola Superior de Educação de Beja,9347_3022
3142,Instituto Politécnico de Santarém - Escola Superior de Educação de Santarém,9347,Artes Plásticas e Multimédia,25.0,25.0,128.0,0.0,2007,1,1.0,Instituto Politécnico de Santarém,Escola Superior de Educação de Santarém,9347_3142
3181,Instituto Politécnico de Viseu - Escola Superior de Educação de Viseu,9347,Artes Plásticas e Multimédia,30.0,11.0,126.5,19.0,2007,1,0.36666666666666664,Instituto Politécnico de Viseu,Escola Superior de Educação de Viseu,9347_3181
0903,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,9348,Biologia Celular e Molecular,50.0,50.0,156.8000030517578,0.0,2007,1,1.0,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,9348_0903
0903,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,9349,Ciência de Engenharia de Materiais,25.0,25.0,122.5999984741211,0.0,2007,1,1.0,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,9349_0903
3141,Instituto Politécnico de Santarém - Escola Superior Agrária de Santarém,9350,Ciência e Tecnologia dos Alimentos,45.0,36.0,108.5,9.0,2007,1,0.8,Instituto Politécnico de Santarém,Escola Superior Agrária de Santarém,9350_3141
0203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,9351,Ciências Biomédicas,35.0,35.0,124.9000015258789,0.0,2007,1,1.0,Universidade do Algarve,Faculdade de Ciências e Tecnologia,9351_0203
0808,Universidade Técnica de Lisboa - Instituto Superior Técnico (instalações no Tagus Park),9352,Ciências de Engenharia - Engenharia e Gestão Industrial,40.0,40.0,134.0,0.0,2007,1,1.0,Universidade Técnica de Lisboa,Instituto Superior Técnico (instalações no Tagus Park),9352_0808
3022,Instituto Politécnico de Beja - Escola Superior de Educação de Beja,9354,Educação e Comunicação Multimédia,30.0,18.0,108.0999984741211,12.0,2007,1,0.6,Instituto Politécnico de Beja,Escola Superior de Educação de Beja,9354_3022
3142,Instituto Politécnico de Santarém - Escola Superior de Educação de Santarém,9354,Educação e Comunicação Multimédia,30.0,30.0,122.5999984741211,0.0,2007,1,1.0,Instituto Politécnico de Santarém,Escola Superior de Educação de Santarém,9354_3142
3141,Instituto Politécnico de Santarém - Escola Superior Agrária de Santarém,9355,Engenharia da Produção Animal,25.0,13.0,115.80000305175781,12.0,2007,1,0.52,Instituto Politécnico de Santarém,Escola Superior Agrária de Santarém,9355_3141
0807,Universidade Técnica de Lisboa - Instituto Superior Técnico,9357,Engenharia Aeroespacial,65.0,65.0,166.0,0.0,2007,1,1.0,Universidade Técnica de Lisboa,Instituto Superior Técnico,9357_0807
0205,Universidade do Algarve - Faculdade de Engenharia de Recursos Naturais,9358,Engenharia Biológica,25.0,10.0,119.69999694824219,15.0,2007,1,0.4,Universidade do Algarve,Faculdade de Engenharia de Recursos Naturais,9358_0205
0807,Universidade Técnica de Lisboa - Instituto Superior Técnico,9358,Engenharia Biológica,65.0,65.0,153.8000030517578,0.0,2007,1,1.0,Universidade Técnica de Lisboa,Instituto Superior Técnico,9358_0807
0501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,9359,Engenharia Biomédica,59.0,59.0,162.8000030517578,0.0,2007,1,1.0,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,9359_0501
0807,Universidade Técnica de Lisboa - Instituto Superior Técnico,9359,Engenharia Biomédica,40.0,40.0,174.0,0.0,2007,1,1.0,Universidade Técnica de Lisboa,Instituto Superior Técnico,9359_0807
0903,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,9359,Engenharia Biomédica,55.0,55.0,169.8000030517578,0.0,2007,1,1.0,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,9359_0903
0501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,9360,Engenharia Civil,125.0,125.0,130.5,0.0,2007,1,1.0,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,9360_0501
0807,Universidade Técnica de Lisboa - Instituto Superior Técnico,9360,Engenharia Civil,185.0,185.0,142.0,0.0,2007,1,1.0,Universidade Técnica de Lisboa,Instituto Superior Técnico,9360_0807
1105,Universidade do Porto - Faculdade de Engenharia,9360,Engenharia Civil,176.0,176.0,139.5,0.0,2007,1,1.0,Universidade do Porto,Faculdade de Engenharia,9360_1105
0203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,9365,Engenharia Electrónica e Telecomunicações,35.0,10.0,108.69999694824219,25.0,2007,1,0.2857142857142857,Universidade do Algarve,Faculdade de Ciências e Tecnologia,9365_0203
0501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,9367,Engenharia Electrotécnica e de Computadores,111.0,111.0,122.5,0.0,2007,1,1.0,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,9367_0501
0807,Universidade Técnica de Lisboa - Instituto Superior Técnico,9367,Engenharia Electrotécnica e de Computadores,205.0,205.0,126.30000305175781,0.0,2007,1,1.0,Universidade Técnica de Lisboa,Instituto Superior Técnico,9367_0807
0903,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,9367,Engenharia Electrotécnica e de Computadores,160.0,160.0,121.19999694824219,0.0,2007,1,1.0,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,9367_0903
1105,Universidade do Porto - Faculdade de Engenharia,9367,Engenharia Electrotécnica e de Computadores,195.0,195.0,143.8000030517578,0.0,2007,1,1.0,Universidade do Porto,Faculdade de Engenharia,9367_1105
0903,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,9368,Engenharia Física,25.0,20.0,115.0,5.0,2007,1,0.8,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,9368_0903
1103,Universidade do Porto - Faculdade de Ciências,9368,Engenharia Física,20.0,20.0,141.0,0.0,2007,1,1.0,Universidade do Porto,Faculdade de Ciências,9368_1103
0501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,9369,Engenharia Mecânica,75.0,75.0,122.5,0.0,2007,1,1.0,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,9369_0501
0807,Universidade Técnica de Lisboa - Instituto Superior Técnico,9369,Engenharia Mecânica,160.0,160.0,132.3000030517578,0.0,2007,1,1.0,Universidade Técnica de Lisboa,Instituto Superior Técnico,9369_0807
1105,Universidade do Porto - Faculdade de Engenharia,9369,Engenharia Mecânica,112.0,112.0,150.8000030517578,0.0,2007,1,1.0,Universidade do Porto,Faculdade de Engenharia,9369_1105
0903,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,9370,Engenharia Química e Bioquímica,65.0,65.0,120.5999984741211,0.0,2007,1,1.0,Universidade Nova de Lisboa,Faculdade de Ciências e Tecnologia,9370_0903
3242,Instituto Politécnico de Tomar - Escola Superior de Tecnologia de Tomar,9380,Conservação e Restauro,45.0,39.0,109.30000305175781,6.0,2007,1,0.8666666666666667,Instituto Politécnico de Tomar,Escola Superior de Tecnologia de Tomar,9380_3242
0701,Universidade de Lisboa - Faculdade de Ciências,9381,Estatística Aplicada,15.0,5.0,110.5,10.0,2007,1,0.3333333333333333,Universidade de Lisboa,Faculdade de Ciências,9381_0701
0110,Universidade dos Açores - Angra do Heroísmo,9382,Guias da Natureza,20.0,17.0,113.19999694824219,3.0,2007,1,0.85,Universidade dos Açores,Angra do Heroísmo,9382_0110
3087,"Universidade do Algarve - Escola Superior de Gestão, Hotelaria e Turismo de Faro (Portimão)",9383,Informação e Animação Turística,25.0,19.0,112.0,6.0,2007,1,0.76,Universidade do Algarve,"Escola Superior de Gestão, Hotelaria e Turismo de Faro (Portimão)",9383_3087
0130,Universidade dos Açores - Ponta Delgada,9384,Informática - Redes e Multimédia,30.0,13.0,131.5,17.0,2007,1,0.43333333333333335,Universidade dos Açores,Ponta Delgada,9384_0130
0701,Universidade de Lisboa - Faculdade de Ciências,9385,Matemática Aplicada,50.0,35.0,108.5,15.0,2007,1,0.7,Universidade de Lisboa,Faculdade de Ciências,9385_0701
0501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,9448,Antropologia,45.0,45.0,110.0,0.0,2007,1,1.0,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,9448_0501
0804,Universidade Técnica de Lisboa - Instituto Superior de Ciências Sociais e Políticas,9448,Antropologia,49.0,20.0,105.0,29.0,2007,1,0.40816326530612246,Universidade Técnica de Lisboa,Instituto Superior de Ciências Sociais e Políticas,9448_0804
0902,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,9448,Antropologia,55.0,53.0,104.5,2.0,2007,1,0.9636363636363636,Universidade Nova de Lisboa,Faculdade de Ciências Sociais e Humanas,9448_0902
3043,Instituto Politécnico de Bragança - Escola Superior de Tecnologia e de Gestão de Bragança,9455,Engenharia Biomédica,60.0,60.0,133.1999969482422,0.0,2007,1,1.0,Instituto Politécnico de Bragança,Escola Superior de Tecnologia e de Gestão de Bragança,9455_3043
3064,Instituto Politécnico de Coimbra - Instituto Superior de Engenharia de Coimbra,9455,Engenharia Biomédica,20.0,20.0,155.39999389648438,0.0,2007,1,1.0,Instituto Politécnico de Coimbra,Instituto Superior de Engenharia de Coimbra,9455_3064
3133,Instituto Politécnico do Porto - Escola Superior de Estudos Industriais e de Gestão,9455,Engenharia Biomédica,28.0,28.0,152.89999389648438,0.0,2007,1,1.0,Instituto Politécnico do Porto,Escola Superior de Estudos Industriais e de Gestão,9455_3133
3152,Instituto Politécnico de Setúbal - Escola Superior de Tecnologia de Setúbal,9455,Engenharia Biomédica,66.0,66.0,135.0,0.0,2007,1,1.0,Instituto Politécnico de Setúbal,Escola Superior de Tecnologia de Setúbal,9455_3152
3103,Instituto Politécnico de Leiria - Escola Superior de Artes e Design das Caldas da Rainha,9457,Som e Imagem,65.0,65.0,126.0,0.0,2007,1,1.0,Instituto Politécnico de Leiria,Escola Superior de Artes e Design das Caldas da Rainha,9457_3103
0807,Universidade Técnica de Lisboa - Instituto Superior Técnico,9458,Engenharia Física Tecnológica,55.0,55.0,153.0,0.0,2007,1,1.0,Universidade Técnica de Lisboa,Instituto Superior Técnico,9458_0807
1105,Universidade do Porto - Faculdade de Engenharia,9459,Engenharia Informática e Computação,102.0,102.0,154.3000030517578,0.0,2007,1,1.0,Universidade do Porto,Faculdade de Engenharia,9459_1105
1105,Universidade do Porto - Faculdade de Engenharia,9460,Engenharia Metalúrgica e de Materiais,21.0,21.0,135.3000030517578,0.0,2007,1,1.0,Universidade do Porto,Faculdade de Engenharia,9460_1105
0501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,9461,Engenharia Química,45.0,30.0,116.0,15.0,2007,1,0.6666666666666666,Universidade de Coimbra,Faculdade de Ciências e Tecnologia,9461_0501
0807,Universidade Técnica de Lisboa - Instituto Superior Técnico,9461,Engenharia Química,70.0,50.0,122.0,20.0,2007,1,0.7142857142857143,Universidade Técnica de Lisboa,Instituto Superior Técnico,9461_0807
1105,Universidade do Porto - Faculdade de Engenharia,9461,Engenharia Química,65.0,65.0,126.0,0.0,2007,1,1.0,Universidade do Porto,Faculdade de Engenharia,9461_1105
3052,Instituto Politécnico de Castelo Branco - Escola Superior de Educação de Castelo Branco,9466,Animação Cultural,25.0,23.0,113.19999694824219,2.0,2007,1,0.92,Instituto Politécnico de Castelo Branco,Escola Superior de Educação de Castelo Branco,9466_3052
3101,Instituto Politécnico de Leiria - Escola Superior de Educação de Leiria,9466,Animação Cultural,30.0,28.0,107.80000305175781,2.0,2007,1,0.9333333333333333,Instituto Politécnico de Leiria,Escola Superior de Educação de Leiria,9466_3101
3181,Instituto Politécnico de Viseu - Escola Superior de Educação de Viseu,9466,Animação Cultural,50.0,37.0,103.5,13.0,2007,1,0.74,Instituto Politécnico de Viseu,Escola Superior de Educação de Viseu,9466_3181
3242,Instituto Politécnico de Tomar - Escola Superior de Tecnologia de Tomar,9467,Técnicas de Arqueologia,35.0,7.0,110.9000015258789,28.0,2007,1,0.2,Instituto Politécnico de Tomar,Escola Superior de Tecnologia de Tomar,9467_3242
3122,Instituto Politécnico de Portalegre - Escola Superior de Tecnologia e Gestão de Portalegre,9468,Informação e Documentação,25.0,4.0,115.19999694824219,21.0,2007,1,0.16,Instituto Politécnico de Portalegre,Escola Superior de Tecnologia e Gestão de Portalegre,9468_3122
3122,Instituto Politécnico de Portalegre - Escola Superior de Tecnologia e Gestão de Portalegre,9469,Design e Animação Multimédia,25.0,12.0,110.4000015258789,13.0,2007,1,0.48,Instituto Politécnico de Portalegre,Escola Superior de Tecnologia e Gestão de Portalegre,9469_3122
3032,Instituto Politécnico do Cávado e do Ave - Escola Superior de Tecnologia,9470,Design Gráfico,36.0,36.0,137.1999969482422,0.0,2007,1,1.0,Instituto Politécnico do Cávado e do Ave,Escola Superior de Tecnologia,9470_3032
3061,Instituto Politécnico de Coimbra - Escola Superior Agrária de Coimbra,9472,Ecoturismo,35.0,35.0,111.19999694824219,0.0,2007,1,1.0,Instituto Politécnico de Coimbra,Escola Superior Agrária de Coimbra,9472_3061
3162,Instituto Politécnico de Viana do Castelo - Escola Superior de Educação de Viana do Castelo,9473,Educação Social Gerontológica,30.0,30.0,133.3000030517578,0.0,2007,1,1.0,Instituto Politécnico de Viana do Castelo,Escola Superior de Educação de Viana do Castelo,9473_3162
3064,Instituto Politécnico de Coimbra - Instituto Superior de Engenharia de Coimbra,9474,Engenharia Biológica,55.0,55.0,134.6999969482422,0.0,2007,1,1.0,Instituto Politécnico de Coimbra,Instituto Superior de Engenharia de Coimbra,9474_3064
3118,Instituto Politécnico de Lisboa - Instituto Superior de Engenharia de Lisboa,9475,Engenharia de Redes de Comunicação e Multimédia,40.0,40.0,116.0,0.0,2007,1,1.0,Instituto Politécnico de Lisboa,Instituto Superior de Engenharia de Lisboa,9475_3118
3117,Instituto Politécnico de Lisboa - Instituto Superior de Contabilidade e Administração de Lisboa,9476,Finanças Empresariais,30.0,30.0,133.5,0.0,2007,1,1.0,Instituto Politécnico de Lisboa,Instituto Superior de Contabilidade e Administração de Lisboa,9476_3117
3154,Instituto Politécnico de Setúbal - Escola Superior de Tecnologia do Barreiro,9478,Gestão da Construção,20.0,3.0,115.30000305175781,17.0,2007,1,0.15,Instituto Politécnico de Setúbal,Escola Superior de Tecnologia do Barreiro,9478_3154
3241,Instituto Politécnico de Tomar - Escola Superior de Gestão de Tomar,9480,Gestão e Administração de Serviços de Saúde,35.0,35.0,116.80000305175781,0.0,2007,1,1.0,Instituto Politécnico de Tomar,Escola Superior de Gestão de Tomar,9480_3241
3032,Instituto Politécnico do Cávado e do Ave - Escola Superior de Tecnologia,9481,Informática para a Saúde,45.0,37.0,110.5999984741211,8.0,2007,1,0.8222222222222222,Instituto Politécnico do Cávado e do Ave,Escola Superior de Tecnologia,9481_3032
3053,Instituto Politécnico de Castelo Branco - Escola Superior de Tecnologia de Castelo Branco,9481,Informática para a Saúde,40.0,21.0,111.0999984741211,19.0,2007,1,0.525,Instituto Politécnico de Castelo Branco,Escola Superior de Tecnologia de Castelo Branco,9481_3053
3102,Instituto Politécnico de Leiria - Escola Superior de Tecnologia e Gestão de Leiria,9481,Informática para a Saúde,45.0,40.0,110.0999984741211,5.0,2007,1,0.8888888888888888,Instituto Politécnico de Leiria,Escola Superior de Tecnologia e Gestão de Leiria,9481_3102
3051,Instituto Politécnico de Castelo Branco - Escola Superior Agrária de Castelo Branco,9482,Nutrição Humana e Qualidade Alimentar,40.0,40.0,128.0,0.0,2007,1,1.0,Instituto Politécnico de Castelo Branco,Escola Superior Agrária de Castelo Branco,9482_3051
3141,Instituto Politécnico de Santarém - Escola Superior Agrária de Santarém,9482,Nutrição Humana e Qualidade Alimentar,40.0,40.0,132.8000030517578,0.0,2007,1,1.0,Instituto Politécnico de Santarém,Escola Superior Agrária de Santarém,9482_3141
3105,Instituto Politécnico de Leiria - Escola Superior de Tecnologia do Mar de Peniche,9484,Restauração e Catering,25.0,25.0,119.19999694824219,0.0,2007,1,1.0,Instituto Politécnico de Leiria,Escola Superior de Tecnologia do Mar de Peniche,9484_3105
3052,Instituto Politécnico de Castelo Branco - Escola Superior de Educação de Castelo Branco,9485,Secretariado,25.0,8.0,113.9000015258789,17.0,2007,1,0.32,Instituto Politécnico de Castelo Branco,Escola Superior de Educação de Castelo Branco,9485_3052
0701,Universidade de Lisboa - Faculdade de Ciências,9486,Química + Química Tecnológica,95.0,47.0,103.5,48.0,2007,1,0.49473684210526314,Universidade de Lisboa,Faculdade de Ciências,9486_0701
3053,Instituto Politécnico de Castelo Branco - Escola Superior de Tecnologia de Castelo Branco,9489,Tecnologia dos Equipamentos de Saúde,30.0,18.0,114.9000015258789,12.0,2007,1,0.6,Instituto Politécnico de Castelo Branco,Escola Superior de Tecnologia de Castelo Branco,9489_3053
3102,Instituto Politécnico de Leiria - Escola Superior de Tecnologia e Gestão de Leiria,9489,Tecnologia dos Equipamentos de Saúde,45.0,45.0,122.19999694824219,0.0,2007,1,1.0,Instituto Politécnico de Leiria,Escola Superior de Tecnologia e Gestão de Leiria,9489_3102
3182,Instituto Politécnico de Viseu - Escola Superior de Tecnologia de Viseu,9491,Tecnologias e Design de Multimédia,45.0,32.0,105.80000305175781,13.0,2007,1,0.7111111111111111,Instituto Politécnico de Viseu,Escola Superior de Tecnologia de Viseu,9491_3182
3101,Instituto Politécnico de Leiria - Escola Superior de Educação de Leiria,9492,Tradução e Interpretação: Português/Chinês - Chinês/Português,15.0,15.0,135.1999969482422,0.0,2007,1,1.0,Instituto Politécnico de Leiria,Escola Superior de Educação de Leiria,9492_3101
1105,Universidade do Porto - Faculdade de Engenharia,9493,Bioengenharia,40.0,40.0,178.8000030517578,0.0,2007,1,1.0,Universidade do Porto,Faculdade de Engenharia,9493_1105
0203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,9494,Ciências Farmacêuticas,35.0,35.0,162.5,0.0,2007,1,1.0,Universidade do Algarve,Faculdade de Ciências e Tecnologia,9494_0203
0504,Universidade de Coimbra - Faculdade de Farmácia,9494,Ciências Farmacêuticas,171.0,171.0,157.8000030517578,0.0,2007,1,1.0,Universidade de Coimbra,Faculdade de Farmácia,9494_0504
0703,Universidade de Lisboa - Faculdade de Farmácia,9494,Ciências Farmacêuticas,209.0,209.0,158.0,0.0,2007,1,1.0,Universidade de Lisboa,Faculdade de Farmácia,9494_0703
1106,Universidade do Porto - Faculdade de Farmácia,9494,Ciências Farmacêuticas,185.0,185.0,163.0,0.0,2007,1,1.0,Universidade do Porto,Faculdade de Farmácia,9494_1106
3135,Instituto Politécnico do Porto - Instituto Superior de Engenharia do Porto,9495,Engenharia de Computação e Instrumentação Médica,30.0,30.0,131.39999389648438,0.0,2007,1,1.0,Instituto Politécnico do Porto,Instituto Superior de Engenharia do Porto,9495_3135
3143,Instituto Politécnico de Santarém - Escola Superior de Gestão de Santarém,9498,Contabilidade e Fiscalidade,60.0,21.0,113.19999694824219,39.0,2007,1,0.35,Instituto Politécnico de Santarém,Escola Superior de Gestão de Santarém,9498_3143
7005,Instituto Politécnico de Beja - Escola Superior de Saúde de Beja,9500,Enfermagem,35.0,35.0,149.0,0.0,2007,1,1.0,Instituto Politécnico de Beja,Escola Superior de Saúde de Beja,9500_7005
7010,Universidade do Minho - Escola Superior de Enfermagem de Calouste Gulbenkian,9500,Enfermagem,80.0,80.0,163.5,0.0,2007,1,1.0,Universidade do Minho,Escola Superior de Enfermagem de Calouste Gulbenkian,9500_7010
7015,Instituto Politécnico de Bragança - Escola Superior de Saúde de Bragança,9500,Enfermagem,40.0,40.0,150.6999969482422,0.0,2007,1,1.0,Instituto Politécnico de Bragança,Escola Superior de Saúde de Bragança,9500_7015
7045,Instituto Politécnico de Leiria - Escola Superior de Saúde de Leiria,9500,Enfermagem,61.0,61.0,150.8000030517578,0.0,2007,1,1.0,Instituto Politécnico de Leiria,Escola Superior de Saúde de Leiria,9500_7045
7055,Instituto Politécnico de Portalegre - Escola Superior de Saúde de Portalegre,9500,Enfermagem,80.0,80.0,136.0,0.0,2007,1,1.0,Instituto Politécnico de Portalegre,Escola Superior de Saúde de Portalegre,9500_7055
